text,label
"URGENT! Your account will be blocked immediately. Click http://verify-bank.co to confirm your details now.",scam
"Congratulations! You have WON a lottery prize of $1000000. Send your bank details to claim now.",scam
"Your OTP is required to complete the transaction. Reply with the 6 digit code sent to your phone immediately.",scam
"Dear customer your electricity bill is overdue. Pay now via this link to avoid disconnection today.",scam
"You have been selected for a free iPhone. Click here and enter your card details to pay shipping.",scam
"Your bank account has been suspended. Verify your identity now by clicking the secure link below.",scam
"Final notice: your package could not be delivered. Confirm your address and pay a small fee to reschedule.",scam
"We noticed unusual activity on your account. Login immediately using this link to secure your funds.",scam
"You have an outstanding refund of $750. Provide your card number to receive the payment today.",scam
"Act now! Limited time offer, claim your free gift card before it expires in one hour.",scam
"Your loan of $5000 has been approved. Send a processing fee to release the funds immediately.",scam
"Security alert: someone tried to access your account. Confirm your password using this link now.",scam
"Hi mom, can you send me the recipe for the pasta we had last Sunday?",legitimate
"Reminder: your dentist appointment is scheduled for 10am tomorrow at Bright Smile Clinic.",legitimate
"Hey, are we still on for lunch this Friday? Let me know what time works for you.",legitimate
"Your monthly statement is now available in your online banking portal.",legitimate
"The quarterly team meeting has been moved to conference room B at 3pm.",legitimate
"Thanks for your order! Your package has shipped and will arrive in 3 to 5 business days.",legitimate
"Can you review the attached document and send feedback by end of day?",legitimate
"Happy birthday! Hope you have a wonderful day surrounded by family and friends.",legitimate
"Your flight is confirmed for Tuesday at 9am. Check in opens 24 hours before departure.",legitimate
"Let's catch up this weekend, it has been too long since we last talked.",legitimate
"The library book you reserved is now available for pickup at the front desk.",legitimate
"Please find attached the invoice for last month's consulting work.",legitimate
